Destination,Destination IP,Hop,IP,ASN,City,Region,Country,Loc,Postal,Timezone,RTT1,RTT2,RTT3
youtube.com,142.250.80.110,10,*,,,,,,,,*,*,*
office.com,13.107.6.156,9,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,10,62.115.141.23,N/A,,,,,,,110.46,108.75,108.63
canalturf.com,185.103.143.176,11,204.68.252.221,N/A,,,,,,,84.8,80.35,83.48
nationaltrust.org.uk,52.210.108.135,7,*,,,,,,,,*,*,*
googletagmanager.com,142.251.40.232,9,192.178.107.42,N/A,,,,,,,7.94,7.15,10.25
azure.com,20.231.239.246,10,51.10.18.13,N/A,,,,,,,51.57,74.43,33.7
mail.ru,217.69.139.200,10,62.115.141.23,N/A,,,,,,,111.23,108.41,109.52
krakow.pl,149.156.2.195,9,212.191.225.13,N/A,,,,,,,108.46,107.32,106.2
facebook.com,31.13.71.36,11,*,,,,,,,,*,*,*
v6velugu.com,51.158.30.124,9,62.115.135.25,N/A,,,,,,,92.34,92.42,90.9
youtube.com,142.250.80.110,11,108.170.227.149,N/A,,,,,,,8.95,6.97,6.5
messefrankfurt.com,193.109.4.37,10,*,,,,,,,,*,*,*
worldbyte.net,46.243.3.93,10,62.115.120.227,N/A,,,,,,,103.7,104.84,106.25
nationaltrust.org.uk,52.210.108.135,8,62.115.139.247,N/A,,,,,,,74.87,79.99,75.65
youtube.com,142.250.80.110,12,192.178.106.157,N/A,,,,,,,13.56,7.46,7.06
instagram.com,157.240.241.174,11,*,,,,,,,,*,*,*
linkedin.com,150.171.22.12,8,*,,,,,,,,*,*,*
googleapis.com,142.250.80.4,10,*,,,,,,,,*,*,*
worldbyte.net,46.243.3.93,11,62.115.192.181,N/A,,,,,,,92.14,91.81,90.08
amazonaws.com,72.21.206.80,8,*,,,,,,,,*,*,*
youtube.com,142.250.80.110,13,142.251.65.113,N/A,,,,,,,7.85,9.2,12.75
