Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
037hdx.tv,tranco-rank100k,4.470000000000001,5.02,0.89,0.55,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
104.156.230.107,vultr-silicon valley,243.66,236.35,1.031,-7.31,exited google,N/A,66.249.94.46,nan,2
104.156.244.232,vultr-miami,231.6,230.38,1.005,-1.22,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,224.425,227.57,0.986,3.145,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,235.505,230.34,1.022,-5.165,exited google,5887.542215996714,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,242.79000000000002,229.015,1.06,-13.775,exited google,N/A,74.125.245.92,nan,2
108.61.194.105,vultr-seattle,231.36,235.73,0.981,4.37,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,6.2,226.58,0.027,220.38,exited google,302.85480924447353,72.14.235.246,AS15169 Google LLC,1
108.61.198.102,vultr-amsterdam,4.55,18.57,0.245,14.02,exited google,228.81812118244625,74.125.243.80,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,246.81,249.06,0.991,2.25,exited google,9531.14640869854,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,4.33,4.57,0.947,0.24,exited google,205.14306963526133,72.14.235.97,AS15169 Google LLC,1
108.61.210.117,vultr-frankfurt,7.41,8.06,0.919,0.65,exited google,N/A,72.14.234.209,nan,1
108.61.212.117,vultr-sydney,483.51,373.31,1.295,-110.2,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,241.62,226.49,1.067,-15.13,exited google,N/A,142.251.65.159,nan,1
108.61.224.175,vultr-dallas,4.4,227.68,0.019,223.28,exited google,205.14306963526133,66.249.95.132,AS15169 Google LLC,1
10g.su,tranco-rank100k,131.345,241.29,0.544,109.945,exited google,N/A,142.250.213.37,nan,1
11kk.love,tranco-rank10k,358.19,4.92,72.803,-353.27,exited google,205.14306963526133,172.253.70.164,AS15169 Google LLC,2
123mkv.team,tranco-rank100k,5.619999999999999,4.91,1.145,-0.71,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
1242.com,tranco-rank100k,237.47,242.26,0.98,4.79,exited google,N/A,108.170.248.242,nan,2
12moviesda.com,tranco-rank100k,222.34,4.68,47.509,-217.66,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
139.84.130.100,vultr-bangalore,481.47,242.28,1.987,-239.19,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,361.425,229.95999999999998,1.572,-131.465,exited google,2314.3279839147267,172.253.51.75,AS15169 Google LLC,1
139.84.226.78,vultr-johannesburg,232.88,223.28,1.043,-9.6,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,7.74,243.66,0.032,235.92,exited google,302.85480924447353,72.14.235.239,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,226.8,242.37,0.936,15.57,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,1.71,247.04,0.007,245.33,exited google,59.68425516537622,72.14.235.99,AS15169 Google LLC,1
1asb.com,tranco-rank100k,220.73,5.47,40.353,-215.26,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
1c.ru,tranco-top1k,233.11,238.29,0.978,5.18,exited google,2314.3279839147267,72.14.237.202,AS15169 Google LLC,1
1drv.com,tranco-top1k,113.84500000000001,9.25,12.308,-104.595,exited google,205.14306963526133,172.253.70.188,AS15169 Google LLC,2
1exch.net,tranco-rank10k,113.315,113.315,1.0,0.0,exited google,205.14306963526133,72.14.235.97,AS15169 Google LLC,1
1goplus.com,tranco-rank10k,4.305,113.88,0.038,109.575,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
1internet.tv,tranco-rank10k,4.14,224.92,0.018,220.78,exited google,205.14306963526133,72.14.235.97,AS15169 Google LLC,1
1nto.com,tranco-rank10k,4.51,219.98,0.021,215.47,exited google,205.14306963526133,172.253.70.164,AS15169 Google LLC,2
1slu.com,tranco-rank10k,4.32,113.125,0.038,108.805,exited google,205.14306963526133,172.253.70.164,AS15169 Google LLC,2
1und1.de,tranco-rank10k,7.38,221.39499999999998,0.033,214.015,exited google,302.85480924447353,72.14.235.239,AS15169 Google LLC,1
208.72.154.76,vultr-honolulu,227.66,238.17000000000002,0.956,10.51,exited google,5887.542215996714,142.251.60.123,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,19.53,19.53,1.0,0.0,exited google,N/A,108.170.252.212,nan,2
216.238.66.16,vultr-mexico city,2.96,227.57,0.013,224.61,exited google,59.68425516537622,72.14.235.99,AS15169 Google LLC,1
216.238.98.118,vultr-sao paulo,246.39,233.5,1.055,-12.89,exited google,N/A,209.85.244.162,nan,2
21wiz.com,tranco-rank10k,4.55,5.23,0.87,0.68,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
24-hd.com,tranco-rank10k,4.38,5.32,0.823,0.94,exited google,205.14306963526133,108.170.255.222,AS15169 Google LLC,2
24-jav.com,tranco-rank10k,4.27,5.255,0.813,0.985,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
2gis.com,tranco-top1k,4.745,231.27499999999998,0.021,226.53,exited google,205.14306963526133,72.14.235.97,AS15169 Google LLC,1
32red.com,tranco-rank10k,1.78,117.78,0.015,116.0,exited google,59.68425516537622,72.14.235.99,AS15169 Google LLC,1
33across.com,tranco-top1k,2.26,2.26,1.0,0.0,exited google,59.68425516537622,108.170.227.232,AS15169 Google LLC,1
360.cn,tranco-top1k,5.66,473.17,0.012,467.51,exited google,302.85480924447353,192.178.97.190,AS15169 Google LLC,2
360safe.com,tranco-top1k,233.56,470.05,0.497,236.49,exited google,5887.542215996714,142.251.66.70,AS15169 Google LLC,1
360yield.com,tranco-top1k,4.26,4.26,1.0,0.0,exited google,205.14306963526133,66.249.95.132,AS15169 Google LLC,1
399mb.com,tranco-rank100k,6.005000000000001,6.005000000000001,1.0,0.0,exited google,205.14306963526133,72.14.235.97,AS15169 Google LLC,1
3ddd.ru,tranco-rank10k,234.02,225.55,1.038,-8.47,exited google,2314.3279839147267,142.250.234.164,AS15169 Google LLC,1
3gl.net,tranco-rank10k,222.17,222.51,0.998,0.34,exited google,59.68425516537622,72.14.235.99,AS15169 Google LLC,1
3isk.biz,tranco-rank10k,4.550000000000001,6.09,0.747,1.54,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
3lift.com,tranco-top1k,6.074999999999999,9.47,0.641,3.395,exited google,205.14306963526133,66.249.95.132,AS15169 Google LLC,1
45.32.100.168,vultr-singapore,478.63,241.2,1.984,-237.43,exited google,10607.8805437191,142.250.237.158,AS15169 Google LLC,1
49erswebzone.com,tranco-rank100k,4.37,4.4,0.993,0.03,exited google,205.14306963526133,172.253.70.164,AS15169 Google LLC,2
4dbeli.co,tranco-rank100k,4.3,5.15,0.835,0.85,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
4netplayers.com,tranco-rank100k,224.31,223.5,1.004,-0.81,exited google,228.81812118244625,142.251.51.160,AS15169 Google LLC,1
5eos306rsc.com,tranco-rank10k,4.425,4.925,0.898,0.5,exited google,205.14306963526133,108.170.255.222,AS15169 Google LLC,2
5movierulz.immo,tranco-rank10k,4.8,113.82000000000001,0.042,109.02,exited google,205.14306963526133,172.253.70.164,AS15169 Google LLC,2
64.176.162.16,vultr-tel aviv,7.155,244.23,0.029,237.075,exited google,302.85480924447353,72.14.238.165,AS15169 Google LLC,1
64.176.178.136,vultr-manchester,4.85,235.235,0.021,230.385,exited google,205.14306963526133,108.170.238.216,AS15169 Google LLC,2
64.176.2.7,vultr-santiago,2.74,228.49,0.012,225.75,exited google,59.68425516537622,72.14.235.99,AS15169 Google LLC,1
64.176.34.94,vultr-osaka,231.93,232.56,0.997,0.63,exited google,9452.960704523259,142.251.241.128,AS15169 Google LLC,1
65.20.66.100,vultr-mumbai,483.23,249.51999999999998,1.937,-233.71,exited google,N/A,72.14.236.75,nan,1
66lottery20.com,tranco-rank10k,4.61,4.85,0.951,0.24,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
67.219.110.24,vultr-melbourne,475.6,478.555,0.994,2.955,exited google,N/A,142.250.224.105,nan,1
70.34.194.86,vultr-stockholm,222.56,228.27,0.975,5.71,exited google,1342.5995409891993,72.14.233.196,AS15169 Google LLC,1
70.34.242.24,vultr-warsaw,219.38,224.52,0.977,5.14,exited google,N/A,64.233.174.228,nan,2
77moviehd.com,tranco-rank100k,4.48,4.79,0.935,0.31,exited google,205.14306963526133,108.170.238.44,AS15169 Google LLC,2
77nekoaffiliate.com,tranco-rank100k,4.43,221.10500000000002,0.02,216.675,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
789.club,tranco-rank10k,4.535,5.1850000000000005,0.875,0.65,exited google,205.14306963526133,108.170.255.222,AS15169 Google LLC,2
78wine.vip,tranco-rank10k,4.38,221.55,0.02,217.17,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
79-mix.com,tranco-rank100k,4.3149999999999995,220.78,0.02,216.465,exited google,205.14306963526133,108.170.238.44,AS15169 Google LLC,2
7dak25e.org,tranco-rank10k,1.66,24.98,0.066,23.32,exited google,59.68425516537622,108.170.227.232,AS15169 Google LLC,1
7dak25er.org,tranco-rank10k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
7dak25wb.org,tranco-rank10k,1.665,18.245,0.091,16.58,exited google,59.68425516537622,108.170.227.232,AS15169 Google LLC,1
888bets.co.mz,tranco-rank10k,116.505,7.8149999999999995,14.908,-108.69,exited google,302.85480924447353,72.14.235.247,AS15169 Google LLC,1
888ifun.com,tranco-rank100k,8.645,112.55999999999999,0.077,103.915,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
98wn40.com,tranco-rank100k,222.44,222.44,1.0,0.0,exited google,205.14306963526133,66.249.95.132,AS15169 Google LLC,1
9news.com.au,tranco-rank10k,4.265000000000001,232.41000000000003,0.018,228.145,exited google,205.14306963526133,72.14.235.97,AS15169 Google LLC,1
a-mo.net,tranco-top1k,4.29,4.29,1.0,0.0,exited google,205.14306963526133,66.249.95.132,AS15169 Google LLC,1
a3y4g6bvae.com,tranco-rank100k,245.325,222.57,1.102,-22.755,exited google,2314.3279839147267,142.250.234.160,AS15169 Google LLC,1
a8.net,tranco-rank10k,480.81,480.81,1.0,0.0,exited google,N/A,72.14.232.209,nan,1
aalto.fi,tranco-rank10k,1.725,1.725,1.0,0.0,exited google,59.68425516537622,72.14.235.99,AS15169 Google LLC,1
abc7.com,tranco-rank10k,4.19,4.19,1.0,0.0,exited google,205.14306963526133,66.249.95.132,AS15169 Google LLC,1
abgmlenuk.wiki,tranco-rank100k,112.655,5.13,21.96,-107.525,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
abo2sadam.net,tranco-rank100k,4.21,229.97,0.018,225.76,exited google,205.14306963526133,66.249.95.132,AS15169 Google LLC,1
aboutads.info,tranco-top1k,111.75999999999999,5.11,21.871,-106.65,exited google,205.14306963526133,108.170.238.44,AS15169 Google LLC,2
academia.edu,tranco-top1k,4.2,4.2,1.0,0.0,exited google,205.14306963526133,66.249.95.132,AS15169 Google LLC,1
acadeu.com,tranco-rank10k,241.68,242.23,0.998,0.55,exited google,5887.542215996714,142.251.60.176,AS15169 Google LLC,1
accuweather.com,tranco-top1k,114.235,226.82,0.504,112.585,exited google,205.14306963526133,66.249.95.132,AS15169 Google LLC,1
acgnxtracker.com,tranco-rank10k,233.95,244.1,0.958,10.15,exited google,5887.542215996714,142.251.60.123,AS15169 Google LLC,1
acsechocaptiveportal.com,tranco-rank10k,231.52,231.52,1.0,0.0,exited google,5887.542215996714,142.251.60.176,AS15169 Google LLC,1
action-media.ru,tranco-rank10k,223.62,236.22,0.947,12.6,exited google,2314.3279839147267,72.14.214.65,AS15169 Google LLC,2
ad.gt,tranco-top1k,232.55,223.55,1.04,-9.0,exited google,7853.6534204890695,142.251.49.34,nan,2
adamieva.info,tranco-rank10k,220.935,4.9,45.089,-216.035,exited google,205.14306963526133,108.170.255.222,AS15169 Google LLC,2
adblockplus.org,tranco-top1k,4.93,4.93,1.0,0.0,exited google,59.68425516537622,108.170.227.232,AS15169 Google LLC,1
addgene.org,tranco-rank100k,219.89,6.02,36.527,-213.87,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
addtoany.com,tranco-top1k,112.96000000000001,4.98,22.683,-107.98,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
adform.net,tranco-top1k,6.55,228.15,0.029,221.6,exited google,228.81812118244625,66.249.95.10,AS15169 Google LLC,1
adftech.com.br,tranco-rank100k,225.88,225.88,1.0,0.0,exited google,205.14306963526133,66.249.95.132,AS15169 Google LLC,1
aditude.cloud,tranco-rank10k,6.88,219.7,0.031,212.82,exited google,205.14306963526133,66.249.95.132,AS15169 Google LLC,1
adjust.com,tranco-top1k,498.94,498.94,1.0,0.0,exited google,205.14306963526133,72.14.235.97,AS15169 Google LLC,1
adkit-advertising.amazon,tranco-rank100k,4.21,4.21,1.0,0.0,exited google,205.14306963526133,72.14.235.97,AS15169 Google LLC,1
admob.com,tranco-rank10k,0.51,0.51,1.0,0.0,last node was google,59.68425516537622,172.253.120.102,AS15169 Google LLC,16
admost.com,tranco-rank10k,4.45,4.86,0.916,0.41,exited google,205.14306963526133,108.170.255.222,AS15169 Google LLC,2
adnxs.com,tranco-top1k,5.41,6.05,0.894,0.64,exited google,228.81812118244625,142.251.51.160,AS15169 Google LLC,1
adobe.com,tranco-top1k,6.300000000000001,7.71,0.817,1.41,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
adobe.io,tranco-top1k,239.76999999999998,239.76999999999998,1.0,0.0,exited google,5887.542215996714,142.251.60.176,AS15169 Google LLC,1
adobeprimetime.com,tranco-rank10k,232.12,232.12,1.0,0.0,exited google,5887.542215996714,142.251.60.176,AS15169 Google LLC,1
adprime.com,tranco-rank10k,4.57,5.49,0.832,0.92,exited google,205.14306963526133,142.251.77.80,AS15169 Google LLC,2
adriver.ru,tranco-top1k,234.65,231.08,1.015,-3.57,exited google,1971.3559845127008,172.253.73.96,AS15169 Google LLC,1
adsafeprotected.com,tranco-top1k,222.06,222.06,1.0,0.0,exited google,228.81812118244625,142.251.51.78,AS15169 Google LLC,1
adspector.io,tranco-rank10k,4.575,4.95,0.924,0.375,exited google,205.14306963526133,108.170.255.222,AS15169 Google LLC,2
adsrvr.org,tranco-top1k,4.415,5.43,0.813,1.015,exited google,205.14306963526133,66.249.95.132,AS15169 Google LLC,1
adtrafficquality.google,tranco-top1k,2.085,2.085,1.0,0.0,last node was google,59.68425516537622,74.125.140.99,AS15169 Google LLC,15
advancedwebranking.com,tranco-rank100k,4.19,4.19,1.0,0.0,exited google,205.14306963526133,66.249.95.132,AS15169 Google LLC,1
adzuna.co.uk,tranco-rank100k,4.37,4.37,1.0,0.0,exited google,205.14306963526133,72.14.235.97,AS15169 Google LLC,1
aejohg.com,tranco-rank100k,112.63,112.63,1.0,0.0,exited google,205.14306963526133,72.14.235.97,AS15169 Google LLC,1
aeroflowbreastpumps.com,tranco-rank100k,2.26,2.26,1.0,0.0,exited google,59.68425516537622,108.170.227.232,AS15169 Google LLC,1
afidni.com,tranco-rank100k,228.54,240.445,0.95,11.905,exited google,5887.542215996714,142.251.60.176,AS15169 Google LLC,1
afternic.com,tranco-top1k,4.85,243.82,0.02,238.97,exited google,59.68425516537622,72.14.235.99,AS15169 Google LLC,1
agenda-loto.net,tranco-rank100k,114.13,119.11500000000001,0.958,4.985,exited google,59.68425516537622,72.14.235.99,AS15169 Google LLC,1
agoda.com,tranco-top1k,7.14,227.62,0.031,220.48,exited google,302.85480924447353,192.178.97.48,AS15169 Google LLC,2
agora.io,tranco-top1k,223.84,223.84,1.0,0.0,exited google,7853.6534204890695,74.125.242.228,AS15169 Google LLC,2
ahlens.se,tranco-rank100k,221.01,222.42,0.994,1.41,exited google,N/A,142.250.213.86,nan,1
aia.com,tranco-rank100k,6.47,254.485,0.025,248.015,exited google,205.14306963526133,142.251.77.80,AS15169 Google LLC,2
aieov.com,tranco-rank100k,4.39,229.06,0.019,224.67,exited google,205.14306963526133,72.14.235.97,AS15169 Google LLC,1
ailawandorder.com,tranco-top1k,485.65,245.21,1.981,-240.44,exited google,9467.139934091132,72.14.239.93,AS15169 Google LLC,1
airbnb.co.uk,tranco-rank10k,239.35500000000002,239.35500000000002,1.0,0.0,exited google,5887.542215996714,142.251.60.176,AS15169 Google LLC,1
airbnb.com,tranco-top1k,224.82,224.82,1.0,0.0,exited google,5887.542215996714,142.251.60.176,AS15169 Google LLC,1
airportseirosafar.com,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
ajaibsnack.com,tranco-rank100k,4.58,6.885,0.665,2.305,exited google,205.14306963526133,108.170.255.222,AS15169 Google LLC,2
akadda.com,tranco-rank100k,7.59,7.59,1.0,0.0,exited google,N/A,142.250.209.65,nan,1
ala.org,tranco-rank10k,111.11,111.11,1.0,0.0,exited google,59.68425516537622,108.170.227.232,AS15169 Google LLC,1
alaska.edu,tranco-rank10k,243.09,232.01,1.048,-11.08,exited google,N/A,142.251.54.146,nan,1
alastonsuomi.com,tranco-rank10k,21.77,219.88,0.099,198.11,exited google,228.81812118244625,66.249.95.7,AS15169 Google LLC,1
alexistogel-daftar.com,tranco-rank10k,4.39,4.73,0.928,0.34,exited google,205.14306963526133,108.170.255.150,AS15169 Google LLC,2
alexistogel-slot.com,tranco-rank10k,4.38,5.06,0.866,0.68,exited google,205.14306963526133,108.170.255.222,AS15169 Google LLC,2
alfahosting-server.de,tranco-rank100k,114.22000000000001,228.12,0.501,113.9,exited google,N/A,209.85.252.184,nan,2
alibaba.com,tranco-top1k,227.49,227.49,1.0,0.0,exited google,6235.272863502797,108.170.233.255,AS15169 Google LLC,1
alicdn.com,tranco-top1k,1.84,252.135,0.007,250.295,exited google,59.68425516537622,72.14.235.99,AS15169 Google LLC,1
