Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
000cheapdomains.com,tranco-rank100k,7.5,220.675,0.034,213.175,exited google,0.4346157676278521,108.170.235.88,AS15169 Google LLC,2
037hdx.tv,tranco-rank100k,0.9450000000000001,219.55,0.004,218.605,exited google,0.4346157676278521,108.170.255.150,AS15169 Google LLC,2
104.156.230.107,vultr-silicon valley,235.95499999999998,225.965,1.044,-9.99,exited google,N/A,142.250.231.100,nan,2
104.156.244.232,vultr-miami,234.72,232.435,1.01,-2.285,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,344.865,244.66000000000003,1.41,-100.205,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,226.22500000000002,242.48,0.933,16.255,exited google,5852.83673604213,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,237.415,227.94,1.042,-9.475,exited google,N/A,108.170.248.94,nan,2
108.61.194.105,vultr-seattle,237.67,229.74,1.035,-7.93,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,8.0,119.345,0.067,111.345,exited google,343.94985073476266,192.178.98.2,AS15169 Google LLC,2
108.61.198.102,vultr-amsterdam,10.64,117.86,0.09,107.22,exited google,430.45900592200815,74.125.242.164,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,242.8,227.52499999999998,1.067,-15.275,exited google,9735.661095604704,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,1.38,2.05,0.673,0.67,exited google,0.4346157676278521,72.14.235.97,AS15169 Google LLC,1
108.61.210.117,vultr-frankfurt,9.76,219.56,0.044,209.8,exited google,479.5131500910457,209.85.252.20,nan,2
108.61.212.117,vultr-sydney,477.06,479.31,0.995,2.25,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,246.46,228.62,1.078,-17.84,exited google,9107.091846262841,142.251.65.159,AS15169 Google LLC,1
108.61.224.175,vultr-dallas,1.65,225.5,0.007,223.85,exited google,0.4346157676278521,108.170.238.216,AS15169 Google LLC,2
10g.su,tranco-rank100k,229.435,237.89,0.964,8.455,exited google,1546.6367900353516,142.250.213.86,AS15169 Google LLC,1
11kk.love,tranco-rank10k,1.23,1.77,0.695,0.54,exited google,0.4346157676278521,108.170.238.44,AS15169 Google LLC,2
123-hd.com,tranco-rank10k,1.67,1.88,0.888,0.21,exited google,0.4346157676278521,172.253.70.164,AS15169 Google LLC,2
123mkv.team,tranco-rank100k,2.45,2.83,0.866,0.38,exited google,0.4346157676278521,172.253.70.164,AS15169 Google LLC,2
139.84.130.100,vultr-bangalore,481.175,227.43,2.116,-253.745,exited google,N/A,74.125.251.23,nan,1
139.84.162.104,vultr-delhi ncr,233.52,241.11,0.969,7.59,exited google,2493.5271600919095,192.178.241.64,AS15169 Google LLC,2
139.84.226.78,vultr-johannesburg,242.83,233.14,1.042,-9.69,exited google,N/A,64.233.174.119,nan,1
141.164.34.61,vultr-seoul,10.665,263.1,0.041,252.435,exited google,343.94985073476266,142.251.50.125,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,241.46,241.58,1.0,0.12,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,2.845,256.05,0.011,253.205,exited google,0.4346157676278521,108.170.238.216,AS15169 Google LLC,2
1c.ru,tranco-top1k,224.18,236.06,0.95,11.88,exited google,2493.5271600919095,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,4.69,12.32,0.381,7.63,exited google,0.4346157676278521,72.14.235.97,AS15169 Google LLC,1
1exch.net,tranco-rank10k,7.97,7.97,1.0,0.0,exited google,0.4346157676278521,72.14.235.97,AS15169 Google LLC,1
1internet.tv,tranco-rank10k,1.42,242.815,0.006,241.395,exited google,0.4346157676278521,72.14.235.97,AS15169 Google LLC,1
1nto.com,tranco-rank10k,1.38,1.08,1.278,-0.3,exited google,0.4346157676278521,108.170.238.44,AS15169 Google LLC,2
1slu.com,tranco-rank10k,1.01,1.995,0.506,0.985,exited google,0.4346157676278521,108.170.255.150,AS15169 Google LLC,2
1tamilmv.fi,tranco-rank10k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
208.72.154.76,vultr-honolulu,223.73,229.69,0.974,5.96,exited google,5852.83673604213,142.251.60.123,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,220.69,234.365,0.942,13.675,exited google,N/A,108.170.228.187,nan,1
216.238.66.16,vultr-mexico city,1.83,130.91,0.014,129.08,exited google,0.4346157676278521,72.14.235.97,AS15169 Google LLC,1
216.238.98.118,vultr-sao paulo,225.805,225.805,1.0,0.0,exited google,9384.755296870608,142.251.64.24,AS15169 Google LLC,2
22.cn,tranco-rank10k,7.9,234.09,0.034,226.19,exited google,343.94985073476266,192.178.97.114,AS15169 Google LLC,2
24-hd.com,tranco-rank10k,2.105,2.75,0.765,0.645,exited google,0.4346157676278521,172.253.70.164,AS15169 Google LLC,2
24-jav.com,tranco-rank10k,1.345,1.97,0.683,0.625,exited google,0.4346157676278521,108.170.255.222,AS15169 Google LLC,2
24exch.co,tranco-rank100k,228.78,228.78,1.0,0.0,exited google,5852.83673604213,142.251.60.182,AS15169 Google LLC,1
2gis.com,tranco-top1k,8.07,235.51,0.034,227.44,exited google,0.4346157676278521,72.14.235.97,AS15169 Google LLC,1
2xpro.net,tranco-rank100k,221.53,2.23,99.341,-219.3,exited google,0.4346157676278521,172.253.70.164,AS15169 Google LLC,2
32red.com,tranco-rank10k,1.1949999999999998,13.12,0.091,11.925,exited google,0.4346157676278521,66.249.95.132,AS15169 Google LLC,1
33across.com,tranco-top1k,2.62,2.62,1.0,0.0,exited google,0.4346157676278521,72.14.235.97,AS15169 Google LLC,1
360.cn,tranco-top1k,7.81,480.22,0.016,472.41,exited google,343.94985073476266,192.178.98.2,AS15169 Google LLC,2
360safe.com,tranco-top1k,240.555,478.86,0.502,238.305,exited google,5852.83673604213,142.251.66.70,AS15169 Google LLC,1
360yield.com,tranco-top1k,1.33,1.33,1.0,0.0,exited google,0.4346157676278521,72.14.235.97,AS15169 Google LLC,1
3ddd.ru,tranco-rank10k,239.1,231.54,1.033,-7.56,exited google,1912.7869792980553,108.170.232.216,AS15169 Google LLC,1
3gl.net,tranco-rank10k,2.26,244.22,0.009,241.96,exited google,0.4346157676278521,66.249.95.132,AS15169 Google LLC,1
3isk.biz,tranco-rank10k,0.96,1.7650000000000001,0.544,0.805,exited google,0.4346157676278521,108.170.255.150,AS15169 Google LLC,2
45.32.100.168,vultr-singapore,471.74,240.15,1.964,-231.59,exited google,N/A,72.14.232.209,nan,1
49erswebzone.com,tranco-rank100k,220.71,2.455,89.902,-218.255,exited google,0.4346157676278521,108.170.238.44,AS15169 Google LLC,2
5-tv.ru,tranco-rank10k,219.76,219.76,1.0,0.0,exited google,430.45900592200815,142.251.51.160,AS15169 Google LLC,1
5eos306rsc.com,tranco-rank10k,2.075,233.74,0.009,231.665,exited google,0.4346157676278521,172.253.70.164,AS15169 Google LLC,2
5jgaming.bet,tranco-rank100k,1.21,3.42,0.354,2.21,exited google,0.4346157676278521,108.170.238.44,AS15169 Google LLC,2
5movierulz.immo,tranco-rank10k,2.045,1.77,1.155,-0.275,exited google,0.4346157676278521,172.253.70.164,AS15169 Google LLC,2
64.176.162.16,vultr-tel aviv,7.87,235.64999999999998,0.033,227.78,exited google,343.94985073476266,192.178.97.114,AS15169 Google LLC,2
64.176.178.136,vultr-manchester,1.3050000000000002,15.27,0.085,13.965,exited google,0.4346157676278521,108.170.255.152,AS15169 Google LLC,2
64.176.2.7,vultr-santiago,1.41,242.87,0.006,241.46,exited google,0.4346157676278521,172.253.70.188,AS15169 Google LLC,2
64.176.34.94,vultr-osaka,234.77,233.235,1.007,-1.535,exited google,N/A,142.251.241.128,nan,1
65.20.66.100,vultr-mumbai,485.41999999999996,249.15,1.948,-236.27,exited google,N/A,72.14.236.74,nan,1
66lottery20.com,tranco-rank10k,118.43,2.42,48.938,-116.01,exited google,0.4346157676278521,172.253.70.164,AS15169 Google LLC,2
67.219.110.24,vultr-melbourne,482.365,476.53499999999997,1.012,-5.83,exited google,N/A,142.250.224.105,nan,1
6855.org,tranco-rank10k,1.76,126.02499999999999,0.014,124.265,exited google,0.4346157676278521,108.170.238.44,AS15169 Google LLC,2
70.34.194.86,vultr-stockholm,237.51,226.22,1.05,-11.29,exited google,N/A,72.14.237.118,nan,2
70.34.242.24,vultr-warsaw,235.63,229.89499999999998,1.025,-5.735,exited google,1370.51171687466,74.125.252.117,AS15169 Google LLC,1
77luckyn.com,tranco-rank100k,9.8,9.71,1.009,-0.09,exited google,0.4346157676278521,108.170.255.150,AS15169 Google LLC,2
77moviehd.com,tranco-rank100k,1.94,1.48,1.311,-0.46,exited google,0.4346157676278521,108.170.238.44,AS15169 Google LLC,2
77nekoaffiliate.com,tranco-rank100k,2.02,2.25,0.898,0.23,exited google,0.4346157676278521,172.253.70.164,AS15169 Google LLC,2
789.club,tranco-rank10k,1.2,0.9,1.333,-0.3,exited google,0.4346157676278521,108.170.238.44,AS15169 Google LLC,2
7dak25e.org,tranco-rank10k,10.38,118.44500000000001,0.088,108.065,exited google,0.4346157676278521,66.249.95.132,AS15169 Google LLC,7
7dak25e.xyz,tranco-rank10k,497.6,16.98,29.305,-480.62,exited google,0.4346157676278521,66.249.95.132,AS15169 Google LLC,4
7dak25er.org,tranco-rank10k,N/A,10.825,N/A,N/A,exited google,0.4346157676278521,66.249.95.132,AS15169 Google LLC,2
7dak25et.com,tranco-rank10k,1.21,1495.09,0.001,1493.88,exited google,0.4346157676278521,66.249.95.132,AS15169 Google LLC,1
7dak25wb.org,tranco-rank10k,1.22,5.0,0.244,3.78,exited google,0.4346157676278521,66.249.95.132,AS15169 Google LLC,1
888bets.co.mz,tranco-rank10k,1.01,1.01,1.0,0.0,exited google,0.4346157676278521,66.249.95.132,AS15169 Google LLC,1
98wn40.com,tranco-rank100k,1.82,1.82,1.0,0.0,exited google,0.4346157676278521,72.14.235.97,AS15169 Google LLC,1
99789bet.vip,tranco-rank100k,125.625,13.85,9.07,-111.775,exited google,0.4346157676278521,72.14.235.97,AS15169 Google LLC,1
9news.com.au,tranco-rank10k,1.19,118.315,0.01,117.125,exited google,0.4346157676278521,66.249.95.132,AS15169 Google LLC,1
a-mo.net,tranco-top1k,3.675,3.675,1.0,0.0,exited google,0.4346157676278521,66.249.95.132,AS15169 Google LLC,1
a222555.com,tranco-rank100k,113.595,8.28,13.719,-105.315,exited google,0.4346157676278521,108.170.255.150,AS15169 Google LLC,2
a3y4g6bvae.com,tranco-rank100k,231.98,231.98,1.0,0.0,exited google,2493.5271600919095,142.250.234.164,AS15169 Google LLC,1
abc7.com,tranco-rank10k,0.73,0.73,1.0,0.0,exited google,0.4346157676278521,66.249.95.132,AS15169 Google LLC,1
abgmlenuk.wiki,tranco-rank100k,1.99,1.7650000000000001,1.127,-0.225,exited google,0.4346157676278521,172.253.70.164,AS15169 Google LLC,2
abo2sadam.net,tranco-rank100k,2.0599999999999996,224.92000000000002,0.009,222.86,exited google,0.4346157676278521,172.253.70.164,AS15169 Google LLC,2
aboutads.info,tranco-top1k,2.48,2.13,1.164,-0.35,exited google,0.4346157676278521,172.253.70.164,AS15169 Google LLC,2
acadeu.com,tranco-rank10k,229.69,229.69,1.0,0.0,exited google,5852.83673604213,142.251.60.176,AS15169 Google LLC,1
accuweather.com,tranco-top1k,1.24,245.27,0.005,244.03,exited google,0.4346157676278521,66.249.95.132,AS15169 Google LLC,1
acsechocaptiveportal.com,tranco-rank10k,364.85,364.85,1.0,0.0,exited google,5852.83673604213,142.251.60.182,AS15169 Google LLC,1
ad.gt,tranco-top1k,239.33,226.01,1.059,-13.32,exited google,7881.289586437401,142.251.50.108,AS15169 Google LLC,1
ad2iction.com,tranco-rank100k,233.13,470.63,0.495,237.5,exited google,9735.661095604704,72.14.239.222,AS15169 Google LLC,1
ad4m.at,tranco-rank10k,1.33,1.915,0.695,0.585,exited google,0.4346157676278521,108.170.255.222,AS15169 Google LLC,2
adblockplus.org,tranco-top1k,5.96,5.96,1.0,0.0,exited google,0.4346157676278521,66.249.95.132,AS15169 Google LLC,1
addgene.org,tranco-rank100k,2.045,5.52,0.37,3.475,exited google,0.4346157676278521,172.253.70.164,AS15169 Google LLC,2
addtoany.com,tranco-top1k,3.72,1.83,2.033,-1.89,exited google,0.4346157676278521,172.253.70.164,AS15169 Google LLC,2
adform.net,tranco-top1k,1.57,221.44,0.007,219.87,exited google,0.4346157676278521,66.249.95.132,AS15169 Google LLC,1
adftech.com.br,tranco-rank100k,1.7,1.7,1.0,0.0,exited google,0.4346157676278521,72.14.235.97,AS15169 Google LLC,1
aditude.cloud,tranco-rank10k,118.43499999999999,113.83500000000001,1.04,-4.6,exited google,0.4346157676278521,72.14.235.97,AS15169 Google LLC,1
adjust.com,tranco-top1k,8.04,8.04,1.0,0.0,exited google,0.4346157676278521,72.14.235.97,AS15169 Google LLC,1
admarketplace.net,tranco-rank100k,1.19,2.74,0.434,1.55,exited google,0.4346157676278521,72.14.235.97,AS15169 Google LLC,1
adnxs.com,tranco-top1k,12.3,12.3,1.0,0.0,exited google,479.5131500910457,142.250.209.65,AS15169 Google LLC,1
adobe.com,tranco-top1k,126.415,112.30000000000001,1.126,-14.115,exited google,0.4346157676278521,108.170.238.44,AS15169 Google LLC,2
adobe.io,tranco-top1k,235.375,235.375,1.0,0.0,exited google,5852.83673604213,142.251.60.176,AS15169 Google LLC,1
adobe.net,tranco-top1k,3.09,229.73,0.013,226.64,exited google,0.4346157676278521,108.170.238.216,AS15169 Google LLC,2
adobecqms.net,tranco-rank10k,1.18,473.39,0.002,472.21,exited google,0.4346157676278521,172.253.70.188,AS15169 Google LLC,2
adobeprimetime.com,tranco-rank10k,237.04500000000002,237.04500000000002,1.0,0.0,exited google,5852.83673604213,142.251.60.182,AS15169 Google LLC,1
